,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000227232.6,315.421766746298,-0.191290684481327,0.219895830933601,-0.869915012345496,0.384346850730999,0.832758179131995
ENSG00000278267.1,2.14680488545861,1.21549151911169,1.51054532888625,0.804670668180405,0.421009750181637,NA
ENSG00000243485.5,5.3353697235688,-0.873922024997314,0.904970918965126,-0.965690727384569,0.334198960787356,NA
ENSG00000233750.3,8.59550533589275,-0.379498285363825,0.747974411706758,-0.507368005407927,0.61189663044937,NA
ENSG00000268903.1,42.9456439239004,-0.0377357359713413,0.333947854091874,-0.112998887427974,0.91003143726906,0.990498422394331
ENSG00000269981.1,39.3547121591233,-0.188924024058861,0.372322314298281,-0.507420632080374,0.611859712154583,0.934997764897009
ENSG00000239906.1,5.57014727580046,0.199351204107738,1.09153949463937,0.182633065580097,0.855085938092087,NA
ENSG00000241860.7,12.0222889517108,0.616847337451737,0.617427143945649,0.999060931318623,0.317765175503175,NA
ENSG00000279457.4,430.452777503339,-0.312899656982874,0.21889244475544,-1.42946759689429,0.152869881785634,0.584489272430797
ENSG00000292994.1,47.8948517809485,0.345103703821585,0.34871777296686,0.989636120021853,0.322352008568478,0.785920387548918
ENSG00000236679.2,4.11249835895653,-0.627340797702398,1.09837326429646,-0.571154468243751,0.567894939340228,NA
ENSG00000290385.1,48.1776863806781,-0.222993479996173,0.374642211417419,-0.595217178418044,0.551698308928301,0.916713116950978
ENSG00000250575.1,2.84474294461432,-0.130328297986815,1.21366095644539,-0.107384436563342,0.914484000931342,NA
ENSG00000293331.1,40.6879727882877,0.350412797972435,0.391179612987547,0.895784919096973,0.370367645889238,0.821935789446014
ENSG00000225972.1,7102.14290413931,-0.371273011302638,0.114981875377317,-3.22896987098438,0.00124236982799458,0.0244846238037852
ENSG00000225630.1,4279.72274746542,-0.19647474946818,0.0890361236146572,-2.20668579776126,0.0273360181368446,0.219563826108017
ENSG00000237973.1,1506.96490565409,-0.245604392054228,0.110520301996634,-2.22225588979759,0.0262660173132294,0.214193607486527
ENSG00000229344.1,81.6772089497269,-0.527234206942262,0.279728840075401,-1.88480460863508,0.0594562225312152,0.353965572025703
ENSG00000240409.1,4.93921556701717,-0.593251961676265,1.05819333111644,-0.560627197537106,0.575051706689273,NA
ENSG00000248527.1,24243.480969328,-0.148836640364077,0.0972236226510593,-1.53086910676286,0.125801745767119,0.529079312311886
ENSG00000198744.5,104.592895361427,-0.401700176883318,0.245757765121661,-1.63453706817548,0.102146129466761,0.474288955897538
ENSG00000229376.3,2.13981450875933,-0.25278071458107,2.0633803187005,-0.122508057428923,0.902496665154097,NA
ENSG00000291215.1,202.037096430336,-0.0447806111354997,0.217981718346293,-0.205432875175154,0.837233937295576,0.979852657700487
ENSG00000237491.10,32.9870683200843,-0.251381020239503,0.374565186143313,-0.67112756214167,0.502139269925142,0.895493748089072
ENSG00000290784.1,3.93581174709077,-0.46786868909595,1.02291040125114,-0.457389707371917,0.647390961042002,NA
ENSG00000177757.2,3.76258957410995,0.159183345723383,1.16808813746126,0.136276827593981,0.891602441873043,NA
ENSG00000225880.6,68.532951123569,0.00932032358839218,0.353253769051264,0.0263842155553608,0.978950883930221,0.997058171450693
ENSG00000228794.12,4457.96724029359,-0.0843674127581553,0.0829814702506814,-1.01670183118336,0.309295294366378,0.775917483600033
ENSG00000288531.1,3.0131375947202,-1.30271534122699,1.3525777891069,-0.963135245690499,0.335479656121053,NA
ENSG00000230368.2,1.7831028339342,-0.784873663615058,1.57110338505198,-0.499568437750574,0.617378986438999,NA
ENSG00000272438.1,44.213972677134,-0.322224311640955,0.338753295806847,-0.951206425530052,0.341499597252414,0.799039210126166
ENSG00000230699.2,207.411197603743,-0.127052500793465,0.193025611047503,-0.658215767866153,0.510399494184712,0.898129848150451
ENSG00000223764.2,200.364187123473,-0.0760430555981691,0.230870205935425,-0.329375786234793,0.741871667435401,0.961937150841005
ENSG00000187634.13,170.872518493153,0.289017593163825,0.368556486052487,0.784188052852948,0.432929774337108,0.859913229696104
ENSG00000188976.11,22984.6433993547,0.00599163292193416,0.105425695704105,0.0568327567764003,0.954678419964586,0.995167918052284
